number,PMID,gene,disease,body fluid,sequencing method,experiment,Drug resistance,disease prognosis,characteration of tumors,prospects for detection,metastasis biomarker,therapy,others
465,38421881,ALK,Non-Small Cell Lung Cancer,plasma,NGS,"In this study, 180 patients received 225 mg of ensartinib orally once daily until disease progression, death or withdrawal. OS was estimated by Kaplan Meier methods with two-sided 95% confidence intervals (CIs). Next-generation sequencing was employed to explore prognostic biomarkers based on plasma samples collected at baseline and after initiating ensartinib. Circulating tumor DNA (ctDNA) was detected to dynamically monitor the genomic alternations during treatment and indicate the existence of molecular residual disease, facilitating improvement of clinical management.",_,"An inferior OS correlated significantly with baseline ALK mutation. Specifically, patients with detected secondary ALK mutations at baseline showed significantly shorter OS than those with undetected secondary ALK mutations (median 17.8 months [95% CI: 9.4坼26.9 months] vs. NR [95% CI: 47.0 months坼NR], HR: 3.0, 95% CI: 1.9坼4.6, P < 0.001].",_,_,_,_,_
466,38418463,EGFR,Non-Small Cell Lung Cancer,plasma,NGS/ddPCR,"OSCILLATE is a phase 2, single-arm, multicentre, open-label trial of alternating osimertinib with gefitinib in patients with advanced EGFR T790M positive NSCLC. Participants were recruited from 12 tertiary centres in Australia, from September 4, 2017 to June 11, 2019. The cut-off date for data analysis for this publication was December 11, 2021. The primary objective of the trial was PFS measured at the 12-month landmark. Secondary objectives include median PFS, time to first and second progression, feasibility of alternating treatment as defined by no dose interruptions for 6 months, ORR as defined by CR and PR, OS and adverse events. Exploratory objectives included analysis of changes in ctDNA and correlation with response to alternating third and first-generation EGFR TKI. Unplanned analysis included difference in PFS and OS between those with an EGFR exon 19 deletion compared to with exon 21 L858R, 12-month PFS rate by sex, and difference in PFS and OS between sex.",_,"Participants with an EGFRm W4-BLR above the median had shorter PFS (median PFS 5 versus 12 months, HR 2.6, 95% CI 1.2每5.3, P = 0.013). Participants with an EGFRm W12-BL R above the median demonstrated both an inferior PFS and OS (median PFS 3 versus 10 months; HR 2.4, 95% CI 1.04每5.58, P = 0.02 and median OS 15 months versus NR; HR 4.2, 95% CI 1.69每10.6, P = 0.002); (week 4-baseline ratio (W4-BLR), week 12-baseline ratio (W12-BLR)).",_,_,_,_,_
467,38417447,KIT,Melanoma,plasma,ddPCR (Bio-Rad QX200),"NICAM is a multicentre, open-label, investigator-initiated, single-arm two-stage phase 2 study conducted across 16 UK sites. Eligible patients were 18 years or older, with KIT mutated histologically proven advanced (unresectable locally advanced or metastatic) mucosal or acral melanoma. Patients whose tumors harbored KIT mutation previously characterised as conferring resistance to nilotinib were excluded. Patients were required to have one or more clinically or radiologically measurable lesions (≡10mm), Eastern Cooperative Oncology Group (ECOG) performance status 0每2, and adequate organ function. Patients with intracranial disease were excluded (unless present and stable for >6 months). Prior exposure to tyrosine kinase inhibitors was excluded.",_,_,_,_,_,"Nilotinib is active in KIT-mutant AM and MM, comparable to other KIT inhibitors, with demonstrable activity in nonhotspot KIT mutations.",_
468,38414861,PBRM1 ,Locally Advanced Cervical Cancers,plasma,"Illumina Hiseq X 10 sequencing platform (Illumina, USA)","In this study, to identify potential ctDNA markers to monitor response to NACT of patients with LACC, we analyzed genetic variants in pre- and post-NACT ctDNA and tumor tissue DNA (ttDNA) samples taken from patients by using targeted next-generation sequencing (NGS).",potential ctDNA marker of emerging resistance to NACT (Neoadjuvant chemotherapy).,Associated with poorer survival.,_,_,_,increasing sensitivity to olaparib,_
469,38414510,TSC2,Metastatic Esophageal Squamous Cell Carcinoma,plasma,"HiSeq4000 platform (Illumina, Inc.)","Our research center is one of the sub-centers of the RATIONALE-302 study (ClinicalTrials.gov identifier no. NCT03430843), of which 20 subjects were screened and 15 were enrolled, of which 12 patients were eligible for this exploratory study at Zhejiang Cancer Hospital (Hangzhou, China) between March 2018 and September 2020, whose tumor tissue or plasma was available for NGS. Eligible patients were aged 18-73 years and previously treated with systematic chemotherapy for stage IV ESCC, who were being treated with tislelizumab immuno-monotherapy 200 mg intravenous drip every 3 weeks until disease progression. Specific inclusion and exclusion criteria were those of the RATIONALE-302 study.",_,"The median OS for TSC2 gene mutation was significantly shorter than wide type [11.7 months vs. not reached (NR), P=0.004].",_,_,_,_,_
470,38414510,ZNF217,Metastatic Esophageal Squamous Cell Carcinoma,plasma,"HiSeq4000 platform (Illumina, Inc.)","Our research center is one of the sub-centers of the RATIONALE-302 study (ClinicalTrials.gov identifier no. NCT03430843), of which 20 subjects were screened and 15 were enrolled, of which 12 patients were eligible for this exploratory study at Zhejiang Cancer Hospital (Hangzhou, China) between March 2018 and September 2020, whose tumor tissue or plasma was available for NGS. Eligible patients were aged 18-73 years and previously treated with systematic chemotherapy for stage IV ESCC, who were being treated with tislelizumab immuno-monotherapy 200 mg intravenous drip every 3 weeks until disease progression. Specific inclusion and exclusion criteria were those of the RATIONALE-302 study.",_,"The median OS for ZNF217 gene mutation was significantly shorter than wide type [11.7 months vs. NR, P=0.022].",_,_,_,_,_
471,38413796,PIK3CA,Metastatic Breast Cancer,plasma,targeted-NGS/ddPCR(BioRad QX100),"Patients aged ≡18 years with ER + /HER2- mBC (immunoreactive for ER in ≡10% of tumor-cell nuclei by immunohistochemistry) treated at Institut Curie Hospitals (Paris and Saint Cloud), who progressed under prior CDK4/6i therapy (with no requirement for prior CDK4/6i duration). The presence of measurable disease (per RECIST criteria) was not a prerequisite for patient enrollment. All included patients were then treated with everolimus (10 mg/day, unless decided otherwise by physicians) and fulvestrant, per standard of care. Mucositis prophylaxis was left at the discretion of the physician. Tumor response to therapy was assessed at least every 3 months by CT-scan. The objective response rate (ORR) was calculated only with the patients with RECIST measurable disease, including those with unconfirmed responses. Any patient who did not achieve a complete/partial response or progressive disease (PD) within 6 months was considered as having a stable disease (SD). Adverse events were coded and graded according to the National Cancer Institute Common Terminology Criteria for Adverse Events (version 5.0). Patient characteristics and survival data were prospectively registered. Patients who discontinued everolimus treatment for any reason other than progression were required to follow the same schedule of assessments until progression. For each patient, longitudinal blood samples were collected: at baseline, after 3每5 weeks (3每5 W) of therapy and at time of disease progression. Variation in ctDNA was calculated using copies/ml.",_,"In multivariate analysis, baseline ctDNA positivity and PIK3CA mutation were found as independent prognostic factors for PFS and OS (for PFS, HR = 2.36, 95%CI [1.38-4.04], p = 0.002; HR = 2.67, 95%CI [1.39-5.10], p = 0.003; for OS, HR = 6.33, 95%CI [2.07-19.36], p = 0.001; HR = 4.58, 95%CI [1.57-13.35], p = 0.005, respectively).",_,_,_,_,_
472,38398128,RAS,Metastatic Colorectal Cancer,plasma,NGS(Guardant360),"This study provides a comprehensive profile of BRAF variants in mCRC using a large genomic database of circulating tumor DNA (ctDNA) and analyzing clinical outcomes in a cohort of patients with atypical (non-V600) BRAF variants (aBRAF; class II, class III, unclassified).",_,"In patient with atypical BRAF, concurrent RAS mutations was associated with poorer prognosis.",_,_,_,_,_
473,38378604,KRAS,Pancreatic Ductal Adenocarcinoma,plasma,"HiSeq4000 platform (Illumina, Inc.)","Paired tumor tissue and blood samples were prospectively collected from patients with mPDAC receiving first-line NPS chemotherapy, and underwent next-generation sequencing with genomic profiling of 425 genes for ctDNA. High mutation allelic frequency (MAF) was defined as ≡ 30% and ≡ 5% in tumor tissue and blood, respectively. Kappa statistics were used to assess agreement between mutant genes in tumor and ctDNA. Associations of mutations in ctDNA and their dynamic changes with tumor response, overall survival (OS), and progression-free survival (PFS) were assessed using the Kaplan-Meier method, multivariable-adjusted Cox proportional hazards regression, and longitudinal data analysis.",_,"Through multivariable analysis, high mutation abundances of KRAS in both tumor (P = 0.007) and blood (P < 0.001) were significantly and independently associated with poorer OS.",_,_,_,_,_
474,38378604,TP53,Pancreatic Ductal Adenocarcinoma,plasma,"HiSeq4000 platform (Illumina, Inc.)","Paired tumor tissue and blood samples were prospectively collected from patients with mPDAC receiving first-line NPS chemotherapy, and underwent next-generation sequencing with genomic profiling of 425 genes for ctDNA. High mutation allelic frequency (MAF) was defined as ≡ 30% and ≡ 5% in tumor tissue and blood, respectively. Kappa statistics were used to assess agreement between mutant genes in tumor and ctDNA. Associations of mutations in ctDNA and their dynamic changes with tumor response, overall survival (OS), and progression-free survival (PFS) were assessed using the Kaplan-Meier method, multivariable-adjusted Cox proportional hazards regression, and longitudinal data analysis.",_,High mutation abundance of TP53 (P = 0.033) was significantly and independently associated with poorer OS.,_,_,_,_,_
475,38378604,SMAD4,Pancreatic Ductal Adenocarcinoma,plasma,"HiSeq4000 platform (Illumina, Inc.)","Paired tumor tissue and blood samples were prospectively collected from patients with mPDAC receiving first-line NPS chemotherapy, and underwent next-generation sequencing with genomic profiling of 425 genes for ctDNA. High mutation allelic frequency (MAF) was defined as ≡ 30% and ≡ 5% in tumor tissue and blood, respectively. Kappa statistics were used to assess agreement between mutant genes in tumor and ctDNA. Associations of mutations in ctDNA and their dynamic changes with tumor response, overall survival (OS), and progression-free survival (PFS) were assessed using the Kaplan-Meier method, multivariable-adjusted Cox proportional hazards regression, and longitudinal data analysis.",_,High mutation abundance of SMAD4 was significantly and independently associated with poorer OS (P = 0.015)/FPS (P = 0.020).,_,_,_,_,_
476,38378604,CDKN2A,Pancreatic Ductal Adenocarcinoma,plasma,"HiSeq4000 platform (Illumina, Inc.)","Paired tumor tissue and blood samples were prospectively collected from patients with mPDAC receiving first-line NPS chemotherapy, and underwent next-generation sequencing with genomic profiling of 425 genes for ctDNA. High mutation allelic frequency (MAF) was defined as ≡ 30% and ≡ 5% in tumor tissue and blood, respectively. Kappa statistics were used to assess agreement between mutant genes in tumor and ctDNA. Associations of mutations in ctDNA and their dynamic changes with tumor response, overall survival (OS), and progression-free survival (PFS) were assessed using the Kaplan-Meier method, multivariable-adjusted Cox proportional hazards regression, and longitudinal data analysis.",_,High mutation abundance of CDKN2A was significantly and independently associated with poorer FPS (P = 0.018).,_,_,_,_,_
477,38375997,EGFR,Non-Small Cell Lung Cancer,plasma,_,"In the current study, we aimed to develop a model to understand and characterize tumor dynamics and the development of drug resistance in patients with NSCLC treated with erlotinib. First, a population PK model of erlotinib was developed and thereafter applied to investigate the exposure坼tumor inhibition relationship of erlotinib. Tumor dynamics＊ models accounting for tumor heterogeneity, with or without a pre坼existing resistance component, and drug exposure坼dependent treatment effects, were evaluated. Subsequently, we aimed to explore the correlation of the extent of somatic driver mutation in ctDNA at baseline with the tumor dynamics in patients with NSCLC.",_,_,Higher baseline plasma EGFR mutation levels correlated with increased tumor growth rates.,_,_,_,_
